insert success , id = 9
insert success , id = 122
insert success , id = 123
insert success , id = 124
insert success , id = 125
insert success , id = 126
insert success , id = 127
insert success , id = 128
insert success , id = 129
insert success , id = 130
insert success , id = 131
insert success , id = 132
insert success , id = 133
insert success , id = 134
insert success , id = 135
insert success , id = 136
insert success , id = 137
insert success , id = 138
insert success , id = 139
insert success , id = 140
insert success , id = 141
insert success , id = 142
insert success , id = 143
insert success , id = 144
insert success , id = 145
insert success , id = 146
insert success , id = 147
insert success , id = 148
insert success , id = 149
insert success , id = 150
insert success , id = 151
insert success , id = 152
insert success , id = 153
insert success , id = 154
insert success , id = 155
insert success , id = 156
insert success , id = 157
insert success , id = 158
insert success , id = 159
insert success , id = 160
insert success , id = 161
insert success , id = 162
insert success , id = 163
insert success , id = 164
insert success , id = 165
insert success , id = 166
insert success , id = 167
insert success , id = 168
insert success , id = 169
insert success , id = 170
insert success , id = 171
insert success , id = 172
insert success , id = 173
insert success , id = 174
insert success , id = 175
insert success , id = 176
insert success , id = 177
insert success , id = 178
insert success , id = 179
insert success , id = 180
insert success , id = 181
insert success , id = 182
insert success , id = 183
insert success , id = 184
insert success , id = 185
insert success , id = 186
insert success , id = 187
insert success , id = 188
insert success , id = 189
insert success , id = 190
insert success , id = 191
insert success , id = 192
insert success , id = 193
insert success , id = 194
insert success , id = 195
insert success , id = 196
insert success , id = 197
insert success , id = 198
insert success , id = 199
insert success , id = 200
insert success , id = 201
insert success , id = 202
insert success , id = 203
insert success , id = 204
insert success , id = 205
insert success , id = 206
insert success , id = 207
insert success , id = 208
insert success , id = 209
insert success , id = 210
insert success , id = 211
insert success , id = 212
insert success , id = 213
insert success , id = 214
insert success , id = 215
insert success , id = 216
insert success , id = 217
insert success , id = 218
insert success , id = 219
insert success , id = 220
insert success , id = 221
insert success , id = 222
insert success , id = 223
insert success , id = 224
insert success , id = 225
insert success , id = 226
insert success , id = 227
insert success , id = 228
insert success , id = 229
insert success , id = 230
insert success , id = 231
insert success , id = 232
insert success , id = 233
insert success , id = 234
insert success , id = 235
insert success , id = 236
insert success , id = 237
insert success , id = 238
insert success , id = 239
insert success , id = 240
insert success , id = 241
insert success , id = 242
insert success , id = 243
insert success , id = 244
insert success , id = 245
insert success , id = 246
insert success , id = 247
insert success , id = 248
insert success , id = 249
insert success , id = 250
insert success , id = 251
insert success , id = 252
insert success , id = 253
insert success , id = 254
insert success , id = 255
insert success , id = 256
insert success , id = 257
insert success , id = 258
insert success , id = 259
insert success , id = 260
insert success , id = 261
insert success , id = 262
insert success , id = 263
insert success , id = 264
insert success , id = 265
insert success , id = 266
insert success , id = 267
insert success , id = 268
insert success , id = 269
insert success , id = 270
insert success , id = 271
insert success , id = 272
insert success , id = 273
insert success , id = 274
insert success , id = 275
insert success , id = 276
insert success , id = 277
insert success , id = 278
insert success , id = 279
insert success , id = 280
insert success , id = 281
insert success , id = 282
insert success , id = 283
insert success , id = 284
insert success , id = 285
insert success , id = 286
insert success , id = 287
insert success , id = 288
insert success , id = 289
insert success , id = 290
insert success , id = 291
insert success , id = 292
insert success , id = 293
insert success , id = 294
insert success , id = 295
insert success , id = 296
insert success , id = 297
insert success , id = 298
insert success , id = 1
insert success , id = 2
insert success , id = 3
insert success , id = 4
insert success , id = 5
insert success , id = 6
insert success , id = 7
insert success , id = 8
insert success , id = 9
insert success , id = 10
insert success , id = 11
insert success , id = 12
insert success , id = 13
insert success , id = 14
insert success , id = 15
insert success , id = 16
insert success , id = 17
insert success , id = 18
insert success , id = 19
insert success , id = 20
insert success , id = 21
insert success , id = 22
insert success , id = 23
insert success , id = 24
insert success , id = 25
insert success , id = 26
insert success , id = 27
insert success , id = 28
insert success , id = 29
insert success , id = 30
insert success , id = 31
insert success , id = 32
insert success , id = 33
insert success , id = 34
insert success , id = 35
insert success , id = 36
insert success , id = 37
insert success , id = 38
insert success , id = 39
insert success , id = 40
insert success , id = 41
insert success , id = 42
insert success , id = 43
insert success , id = 44
insert success , id = 45
insert success , id = 46
insert success , id = 47
insert success , id = 48
insert success , id = 49
insert success , id = 50
insert success , id = 51
insert success , id = 52
insert success , id = 53
insert success , id = 54
insert success , id = 55
insert success , id = 56
insert success , id = 57
insert success , id = 58
insert success , id = 59
insert success , id = 60
insert success , id = 61
insert success , id = 62
insert success , id = 63
insert success , id = 64
insert success , id = 65
insert success , id = 66
insert success , id = 67
insert success , id = 68
insert success , id = 69
insert success , id = 70
insert success , id = 71
insert success , id = 72
insert success , id = 73
insert success , id = 74
insert success , id = 75
insert success , id = 76
insert success , id = 77
insert success , id = 78
insert success , id = 79
insert success , id = 80
insert success , id = 81
insert success , id = 82
insert success , id = 83
insert success , id = 84
insert success , id = 85
insert success , id = 86
insert success , id = 87
insert success , id = 88
insert success , id = 89
insert success , id = 90
insert success , id = 91
insert success , id = 92
insert success , id = 93
insert success , id = 94
insert success , id = 95
insert success , id = 96
insert success , id = 97
insert success , id = 98
insert success , id = 99
insert success , id = 100
insert success , id = 101
insert success , id = 102
insert success , id = 103
insert success , id = 104
insert success , id = 105
insert success , id = 106
insert success , id = 107
insert success , id = 108
insert success , id = 109
insert success , id = 110
insert success , id = 111
insert success , id = 112
insert success , id = 113
insert success , id = 114
insert success , id = 115
insert success , id = 116
insert success , id = 117
insert success , id = 118
insert success , id = 119
insert success , id = 120
insert success , id = 121
insert success , id = 122
insert success , id = 123
insert success , id = 124
insert success , id = 125
insert success , id = 126
insert success , id = 127
insert success , id = 128
insert success , id = 129
insert success , id = 130
insert success , id = 131
insert success , id = 132
insert success , id = 133
insert success , id = 134
insert success , id = 135
insert success , id = 136
insert success , id = 137
insert success , id = 138
insert success , id = 139
insert success , id = 140
insert success , id = 141
insert success , id = 142
insert success , id = 143
insert success , id = 144
insert success , id = 145
insert success , id = 146
insert success , id = 147
insert success , id = 148
insert success , id = 149
insert success , id = 150
insert success , id = 151
insert success , id = 152
insert success , id = 153
insert success , id = 154
insert success , id = 155
insert success , id = 156
insert success , id = 157
insert success , id = 158
insert success , id = 159
insert success , id = 160
insert success , id = 161
insert success , id = 162
insert success , id = 163
insert success , id = 164
insert success , id = 165
insert success , id = 166
insert success , id = 167
insert success , id = 168
insert success , id = 169
insert success , id = 170
insert success , id = 171
insert success , id = 172
insert success , id = 173
insert success , id = 174
insert success , id = 175
insert success , id = 176
insert success , id = 177
insert success , id = 178
insert success , id = 179
insert success , id = 180
insert success , id = 181
insert success , id = 182
insert success , id = 183
insert success , id = 184
insert success , id = 185
insert success , id = 186
insert success , id = 187
insert success , id = 188
insert success , id = 189
insert success , id = 190
insert success , id = 191
insert success , id = 192
insert success , id = 193
insert success , id = 194
insert success , id = 195
insert success , id = 196
insert success , id = 197
insert success , id = 198
insert success , id = 199
insert success , id = 200
insert success , id = 201
insert success , id = 202
insert success , id = 203
insert success , id = 204
insert success , id = 205
insert success , id = 206
insert success , id = 207
insert success , id = 208
insert success , id = 209
insert success , id = 210
insert success , id = 211
insert success , id = 212
insert success , id = 213
insert success , id = 214
insert success , id = 215
insert success , id = 216
insert success , id = 217
insert success , id = 218
insert success , id = 219
insert success , id = 220
insert success , id = 221
insert success , id = 222
insert success , id = 223
insert success , id = 224
insert success , id = 225
insert success , id = 226
insert success , id = 227
insert success , id = 228
insert success , id = 229
insert success , id = 230
insert success , id = 231
insert success , id = 232
insert success , id = 233
insert success , id = 234
insert success , id = 235
insert success , id = 236
insert success , id = 237
insert success , id = 238
insert success , id = 239
insert success , id = 240
insert success , id = 241
insert success , id = 242
insert success , id = 243
insert success , id = 244
insert success , id = 245
insert success , id = 246
insert success , id = 247
insert success , id = 248
insert success , id = 249
insert success , id = 250
insert success , id = 251
insert success , id = 252
insert success , id = 253
insert success , id = 254
insert success , id = 255
insert success , id = 256
insert success , id = 257
insert success , id = 258
insert success , id = 259
insert success , id = 260
insert success , id = 261
insert success , id = 262
insert success , id = 263
insert success , id = 264
insert success , id = 265
insert success , id = 266
insert success , id = 267
insert success , id = 268
insert success , id = 269
insert success , id = 270
insert success , id = 271
insert success , id = 272
insert success , id = 273
insert success , id = 274
insert success , id = 275
insert success , id = 276
insert success , id = 277
insert success , id = 278
insert success , id = 279
insert success , id = 280
insert success , id = 281
insert success , id = 282
insert success , id = 283
insert success , id = 284
insert success , id = 285
insert success , id = 286
insert success , id = 287
insert success , id = 288
insert success , id = 289
insert success , id = 290
insert success , id = 291
第291条被修改，已被删除！
insert success , id = 292
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019481,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019492,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019884,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ','',1511019886,'video')' at line 1
insert error,Unknown column '02部件属性' in 'field list'
insert error,Unknown column '01符号筛选' in 'field list'
insert error,Unknown column '视频1' in 'field list'
insert error,Unknown column 'EPLAN的各种定义解释' in 'field list'
insert error,Unknown column '上海沐江SWE标准培训15' in 'field list'
insert error,Unknown column '上海沐江SWE标准培训13' in 'field list'
insert error,Unknown column '上海沐江SWE标准培训14' in 'field list'
insert error,Unknown column '上海沐江SWE标准培训11整机式PLC设计' in 'field list'
insert error,Unknown column '上海沐江' in 'field list'
insert error,Unknown column '上海沐江' in 'field list'
insert error,Unknown column '上海沐江' in 'field list'
insert error,Unknown column '上海沐江' in 'field list'
insert error,Unknown column '上海沐江' in 'field list'
insert error,Unknown column '上海沐江' in 'field list'
insert error,Unknown column '上海沐江SWE标准培训04' in 'field list'
insert error,Unknown column '上海沐江SWE标准培训03' in 'field list'
insert error,Unknown column '上海沐江' in 'field list'
insert error,Unknown column '上海沐江SWE标准培训1项目新建及导入导出' in 'field list'
insert success , id = 293
insert success , id = 294
insert success , id = 295
insert success , id = 296
insert success , id = 297
insert success , id = 298
insert success , id = 299
insert success , id = 300
insert success , id = 301
insert success , id = 302
insert success , id = 303
insert success , id = 304
insert success , id = 305
insert success , id = 306
insert success , id = 307
insert success , id = 308
insert success , id = 309
insert success , id = 310
insert success , id = 311
insert success , id = 312
insert success , id = 313
insert success , id = 314
insert success , id = 315
insert success , id = 316
insert success , id = 317
insert success , id = 318
insert success , id = 319
insert success , id = 320
insert success , id = 321
insert success , id = 322
insert success , id = 323
insert success , id = 324
insert success , id = 325
insert success , id = 326
insert success , id = 327
insert success , id = 328
insert success , id = 329
insert success , id = 330
第311条被修改，已被删除！
insert success , id = 331
insert success , id = 332
insert success , id = 333
insert success , id = 334
insert success , id = 335
insert success , id = 336
insert success , id = 337
insert success , id = 338
insert success , id = 339
insert success , id = 340
insert success , id = 341
insert success , id = 342
insert success , id = 343
insert success , id = 344
insert success , id = 345
insert success , id = 346
insert success , id = 347
insert success , id = 348
insert success , id = 349
insert success , id = 350
insert success , id = 351
insert success , id = 352
insert success , id = 353
insert success , id = 354
insert success , id = 355
insert success , id = 356
insert success , id = 357
insert success , id = 358
insert success , id = 359
insert success , id = 360
insert success , id = 361
insert success , id = 362
insert success , id = 363
insert success , id = 364
insert success , id = 365
insert success , id = 366
insert success , id = 367
insert success , id = 368
insert success , id = 369
insert success , id = 370
